gc_orgID,GCOrg_legal_title,GCOrg_abbreviation,Candidate_infobaseID,Candidate_legal_title,Candidate_status,Candidate_end_fin,MatchScore,SecondBestScore,ReviewReasons
2295,Secretariat of the National Security and Intelligence Committee of Parliamentarians,,345,Secretariat of the National Security and Intelligence Committee of Parliamentarians,a,,100,86,
3432,Senate,,251,Senate Ethics Officer,a,,100,100,collision_top2_close
3431,Senate Ethics Officer,,251,Senate Ethics Officer,a,,100,100,collision_top2_close
3497,Sept-Îles Port Authority,,304,Sept-Îles Port Authority,a,,100,80,
3591,Service Canada,,47,Canada School of Public Service,a,,100,100,collision_top2_close
2292,Shared Services Canada,,305,Shared Services Canada,a,,100,81,
3613,Ship and Rail Compensation Canada,,232,NAV CANADA,a,,75,73,low_score;collision_top2_close
2316,Social Sciences and Humanities Research Council,,306,Social Sciences and Humanities Research Council,a,,100,76,
3632,Social Security Tribunal,,307,Social Security Tribunal,t,2013,100,57,
3498,Sport Dispute Resolution Centre of Canada,,308,Sport Dispute Resolution Centre of Canada,a,,100,78,
3499,St. John’s International Airport Authority,,309,St. John's International Airport Authority,a,,100,89,
3500,St. John’s Port Authority,,310,St. John's Port Authority,a,,100,89,
3501,St. Lawrence Seaway Management Corporation,,311,St. Lawrence Seaway Management Corporation,a,,100,64,
