gc_orgID,harmonized_name_info,harmonized_name_concordance,nom_harmonisé_info,nom_harmonisé_concordance
3453.0,Canadian Institute for Health Information (CIHI),Canadian Institute for Health Information (CIHI),,Institut canadien d'information sur la santé (ICIS)
3454.0,Canadian Livestock Records Corporation,Canadian Livestock Records Corporation,,Société canadienne d'enregistrement des animaux
3455.0,Canadian Partnership Against Cancer Corporation (CPAC),Canadian Partnership Against Cancer Corporation (CPAC),,Partenariat canadien contre le cancer (PCC)
3456.0,Canadian Patient Safety Institute (CPSI),Canadian Patient Safety Institute (CPSI),,Institut canadien pour la sécurité des patients (ICSP)
3457.0,Canadian Sport Institute Ontario,Canadian Sport Institute Ontario,,Institut canadien du sport Ontario
3458.0,Charlottetown Airport Authority Inc.,Charlottetown Airport Authority Inc.,,Charlottetown Airport Authority Inc.
3459.0,Coaching Association of Canada,Coaching Association of Canada,,Association canadienne des entraîneurs
3461.0,Edmonton Regional Airports Authority,Edmonton Regional Airports Authority,,Edmonton Regional Airports Authority
3462.0,Fredericton International Airport Authority Inc.,Fredericton International Airport Authority Inc.,,Fredericton International Airport Authority Inc.
3463.0,Gander International Airport Authority Inc.,Gander International Airport Authority Inc.,,Gander International Airport Authority Inc.
3464.0,Greater London International Airport Authority,Greater London International Airport Authority,,Greater London International Airport Authority
3465.0,Greater Moncton International Airport Authority Inc.,Greater Moncton International Airport Authority Inc.,,Greater Moncton International Airport Authority Inc.
3466.0,Greater Toronto Airports Authority,Greater Toronto Airports Authority,,Autorité aéroportuaire du Grand Toronto
3467.0,Halifax International Airport Authority,Halifax International Airport Authority,,Administration de l'aéroport international d'Halifax
3468.0,Halifax Port Authority,Halifax Port Authority,,Administration portuaire d'Halifax
3469.0,Hamilton Port Authority,Hamilton Port Authority,,Administration portuaire de Hamilton
3470.0,Institut national du sport du Québec,Institut national du sport du Québec,,Institut national du sport du Québec
3471.0,Internal Trade Secretariat Corporation,Internal Trade Secretariat Corporation,,Corporation du Secrétariat du commerce intérieur
3472.0,International Fisheries Commissions Pension Society,International Fisheries Commissions Pension Society,,Société de caisse de retraite de la Commission internationale des pêcheries
3473.0,Lake of the Woods Control Board,Lake of the Woods Control Board,,Commission de contrôle du lac des Bois
3474.0,Maritime Forestry Complex Corporation,Maritime Forestry Complex Corporation,,Société du complexe forestier des Maritimes
