gc_orgID,harmonized_name,nom_harmonisé,legal_title,appellation_légale,preferred_name,nom_préféré,lead_department,ministère_responsable,abbreviation,abreviation,FAA_LGFP,status_statut
3482,Ottawa International Airport Authority,,Ottawa International Airport Authority,,,,,,,,,a
3483,Ouranos Consortium,,Ouranos Consortium,,,,,,,,,a
3484,"Pierre Elliott Trudeau Foundation, The",,"Pierre Elliott Trudeau Foundation, The",,,,,,,,,a
3485,Porcupine Caribou Management Board,,Porcupine Caribou Management Board,,,,,,,,,a
3486,Port Alberni Port Authority,,Port Alberni Port Authority,,,,,,,,,a
3488,Prince George Airport Authority Inc.,,Prince George Airport Authority Inc.,,,,,,,,,a
3489,Prince Rupert Port Authority,,Prince Rupert Port Authority,,,,,,,,,a
3490,Québec Port Authority,,Québec Port Authority,,,,,,,,,a
3491,Regina Airport Authority Inc.,,Regina Airport Authority Inc.,,,,,,,,,a
3492,Roosevelt Campobello International Park Commission,,Roosevelt Campobello International Park Commission,,,,,,,,,a
3493,Saguenay Port Authority,,Saguenay Port Authority,,,,,,,,,a
3494,Saint John Airport Inc.,,Saint John Airport Inc.,,,,,,,,,a
3495,Saint John Port Authority,,Saint John Port Authority,,,,,,,,,a
3496,Saskatoon Airport Authority,,Saskatoon Airport Authority,,,,,,,,,a
3497,Sept-Îles Port Authority,,Sept-Îles Port Authority,,,,,,,,,a
3498,Sport Dispute Resolution Centre of Canada,,Sport Dispute Resolution Centre of Canada,,,,,,,,,a
3499,St. John's International Airport Authority,,St. John's International Airport Authority,,,,,,,,,a
3500,St. John's Port Authority,,St. John's Port Authority,,,,,,,,,a
3501,St. Lawrence Seaway Management Corporation,,St. Lawrence Seaway Management Corporation,,,,,,,,,a
3502,Terry Fox Humanitarian Award Inc.,,Terry Fox Humanitarian Award Inc.,,,,,,,,,a
3503,Thunder Bay International Airports Authority Inc.,,Thunder Bay International Airports Authority Inc.,,,,,,,,,a
3504,Thunder Bay Port Authority,,Thunder Bay Port Authority,,,,,,,,,a
3506,Toronto Port Authority,,Toronto Port Authority,,,,,,,,,a
3507,Trois-Rivières Port Authority,,Trois-Rivières Port Authority,,,,,,,,,a
3508,TV5 Québec Canada,,TV5 Québec Canada,,,,,,,,,a
3509,Vancouver Fraser Port Authority,,Vancouver Fraser Port Authority,,,,,,,,,a
3510,Vancouver International Airport Authority,,Vancouver International Airport Authority,,,,,,,,,a
3511,Victoria Airport Authority,,Victoria Airport Authority,,,,,,,,,a
3512,Waterfront Toronto,,Waterfront Toronto,,,,,,,,,a
3513,Wildlife Habitat Canada,,Wildlife Habitat Canada,,,,,,,,,a
3514,Windsor Port Authority,,Windsor Port Authority,,,,,,,,,a
3515,Winnipeg Airports Authority Inc.,,Winnipeg Airports Authority Inc.,,,,,,,,,a
3516,Canadian Foundation for Healthcare Improvement (CFHI),,Canadian Foundation for Healthcare Improvement (CFHI),,,,,,,,,d
3517,Healthcare Excellence Canada (HEC),,Healthcare Excellence Canada (HEC),,,,,,,,,a
3518,Aboriginal Healing Foundation,,Aboriginal Healing Foundation,,,,,,,,,d
3519,Canada Commonwealth Legacy Fund,,Canada Commonwealth Legacy Fund,,,,,,,,,d
3520,Canadian Foundation for Climate and Atmospheric Sciences,,Canadian Foundation for Climate and Atmospheric Sciences,,,,,,,,,d
3521,Canadian International Grains Institute,,Canadian International Grains Institute,,,,,,,,,d
3522,"Canadian Wheat Board, The",,"Canadian Wheat Board, The",,,,,,,,,d
3523,Centre national multisport-Montréal,,Centre national multisport-Montréal,,,,,,,,,d
3524,First Nations Financial Management Board,,First Nations Financial Management Board,,,,,,,,,d
3525,First Nations Tax Commission,,First Nations Tax Commission,,,,,,,,,d
3526,Health Council of Canada,,Health Council of Canada,,,,,,,,,d
3527,International Centre for Human Rights and Democratic Development,,International Centre for Human Rights and Democratic Development,,,,,,,,,d
3528,PrioNet Canada,,PrioNet Canada,,,,,,,,,d
3531,Last Post Fund,,Last Post Fund,,,,,,,,,t
3532,"Vanier Institute of the Family, The",,"Vanier Institute of the Family, The",,,,,,,,,t
3533,Canadian Coast Guard,,Canadian Coast Guard,,,,Fisheries and Oceans Canada,,,,,a
3534,Canadian Conservation Institute,,Canadian Conservation Institute,,,,Canadian Heritage,,,,,a
3535,Canadian Forces Housing Agency,,Canadian Forces Housing Agency,,,,National Defence,,,,,a
3536,Canadian Heritage Information Network,,Canadian Heritage Information Network,,,,Canadian Heritage,,,,,a
3537,Canadian Intellectual Property Office,,Canadian Intellectual Property Office,,,,"Innovation, Science and Economic Development Canada",,,,,a
3538,Canadian Pari-Mutuel Agency,,Canadian Pari-Mutuel Agency,,,,Agriculture and Agri-Food Canada,,,,,a
3539,CORCAN,,CORCAN,,,,Public Safety Canada,,,,,a
3540,Defence Research and Development Canada,,Defence Research and Development Canada,,,,National Defence,,,,,a
3541,Indian Oil and Gas Canada,,Indian Oil and Gas Canada,,,,Crown-Indigenous Relations and Northern Affairs Canada,,,,5,a
3542,Measurement Canada,,Measurement Canada,,,,"Innovation, Science and Economic Development Canada",,,,,a
3543,Physical Resources Bureau,,Physical Resources Bureau,,,,,,,,,a
3544,Translation Bureau,,Translation Bureau,,,,Public Services and Procurement Canada,,,,,a
3545,Consulting and Audit Canada Revolving Fund,,Consulting and Audit Canada Revolving Fund,,,,,,,,,d
3546,Industrial Technologies Office,,Industrial Technologies Office,,,,"Innovation, Science and Economic Development Canada",,,,,t
3547,Passport Canada,,Passport Canada,,,,,,,,,t
3548,Payroll System General Ledger,,Payroll System General Ledger,,,,,,,,,a
3549,Public Service Superannuation,,Public Service Superannuation,,,,,,,,,a
3552,Bank of Canada Museum,,Bank of Canada Museum,,,,,,,,,a
3553,Canada Agriculture and Food Museum,,Canada Agriculture and Food Museum,,,,,,,,,a
3554,Canada Aviation and Space Museum,,Canada Aviation and Space Museum,,,,,,,,,a
3555,Canada Firearms Centre,,Canada Firearms Centre,,,,,,,,,a
3556,Canada Research Chairs,,Canada Research Chairs,,,,,,,,,a
3557,Canadian Army,,Canadian Army,,,,National Defence,,,,,a
3558,Canadian Judicial Council,,Canadian Judicial Council,,,,,,,,,a
3559,Canadian Special Operations Forces Command,,Canadian Special Operations Forces Command,,,,,,,,,a
